Answer,Hint,Date
The Umbrella Academy,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more. .",2019
The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864. .",2009
The Falcon and the Winter Soldier,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience. .",2021
Friends,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life. .",1994
Regular Show,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park. .,2010
Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force.  Subsequently, their father raised them to be soldiers.",2005
Chernobyl,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl.  A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,2019
House,"Dr Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey. .",2004
Seinfeld,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s.  It's a show about nothing.,1989
Severance,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives.  When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",2022
The Witcher,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts. .",2019
Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea.  He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",2012
Better Call Saul,"Six years before Saul Goodman meets Walter White.  We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet.",2015
Westworld,"A dark odyssey about the dawn of artificial consciousness and the evolution of sin.  Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.",2016
American Horror Story,"An anthology horror drama series centering on different characters and locations, including a house with a murderous past, an asylum, a witch coven, a freak show, a hotel, a farmhouse in Roanoke, a cult, the apocalypse and a summer camp. .",2011
Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out. .",2005
House of the Dragon,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights.",2022
The Legend of Korra,"Avatar Korra, a headstrong, rebellious, feisty young woman who continually challenges and breaks with tradition, is on her quest to become a fully realized Avatar.  In this story, the Avatar struggles to find balance within herself.",2012
Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions. .",2021
How I Met Your Mother,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother. .,2005
The Act,"A seasonal anthology series that tells startling, stranger-than-fiction true crime stories with the first season following Gypsy Blanchard, a girl trying to escape the toxic relationship she has with her overprotective mother. .",2019
INVINCIBLE,"Mark Grayson is a normal teenager except for the fact that his father is the most powerful superhero on the planet.  Shortly after his seventeenth birthday, Mark begins to develop powers of his own and enters into his father’s tutelage.",2021
The Queen's Gambit,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction. .",2020
Fear the Walking Dead,"What did the world look like as it was transforming into the horrifying apocalypse depicted in ""The Walking Dead""? This spin-off set in Los Angeles, following new characters as they face the beginning of the end of the world, will answer that question. .",2015
Mr. Robot,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them.  He wields his skills as a weapon to protect the people that he cares about.",2015
Dexter,"Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice. .",2006
Marvel's Daredevil,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil. .,2015
The Office,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company. .",2005
South Park,"Follow the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado. .",1997
Lost,"Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive.  But the island holds many secrets.",2004
Lost,"Stripped of everything, the survivors of a horrific plane crash  must work together to stay alive.  But the island holds many secrets.",2004
Family Guy,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family.  Bumbling Peter and long-suffering Lois have three kids.",1999
Malcolm in the Middle,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family. .",2000
Malcolm in the Middle,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family. .",2000
Teen Wolf,"Scott McCall, a high school student living in the town of Beacon Hills has his life drastically changed when he's bitten by a werewolf, becoming one himself.  He must henceforth learn to balance his problematic new identity with his day-to-day teenage life.",2011
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world. .",2005
What If...?,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments. .",2021
13 Reasons Why,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice. .",2017
Fast & Furious Spy Racers,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies. .,2019
Smallville,The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel. .,2001
Star Wars: The Clone Wars,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists. .",2008
Gossip Girl,An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl. .,2007
The Mentalist,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation. .",2008
Law & Order: Special Victims Unit,"In the criminal justice system, sexually-based offenses are considered especially heinous.  In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit.",1999
Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again.  The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",2005
Firefly,"In the year 2517, after the arrival of humans in a new star system, follow the adventures of the renegade crew of Serenity, a ""Firefly-class"" spaceship. .",2002
True Detective,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law. .",2014
Chicago Fire,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions.  For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating.",2012
"Love, Death & Robots","Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher. .",2019
Brooklyn Nine-Nine,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss. .",2013
You,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by. .",2018
Marvel's Agents of S.H.I.E.L.D.,Agent Phil Coulson of S. H.,2013
Chilling Adventures of Sabrina,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night. .",2018
Gotham,"Everyone knows the name Commissioner Gordon.  He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order.",2014
Hawkeye,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas.  Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero.",2021
Futurama,"The adventures of a late-20th-century New York City pizza delivery boy, Philip J.  Fry, who, after being unwittingly cryogenically frozen for one thousand years, finds employment at Planet Express, an interplanetary delivery company in the retro-futuristic 31st century.",1999
Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house. .,2003
She-Hulk: Attorney at Law,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered hulk. .",2022
DC's Legends of Tomorrow,When heroes alone are not enough . .,2016
Siren,"The coastal town of Bristol Cove is known for its legend of once being home to mermaids.  When the arrival of a mysterious girl proves this folklore all too true, the battle between man and sea takes a very vicious turn as these predatory beings return to reclaim their right to the ocean.",2018
Grimm,"After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms,"" he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm. .",2011
The Blacklist,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D. C.",2013
The Purge,"Set in a dystopian America ruled by a totalitarian political party, the series follows several seemingly unrelated characters living in a small city.  Tying them all together is a mysterious savior who’s impeccably equipped for everything the night throws at them.",2018
Homeland,"CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable.  With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.",2011
Bones,"Dr Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless. .",2005
The Sandman,"After years of imprisonment, Morpheus — the King of Dreams — embarks on a journey across worlds to find what was stolen from him and restore his power. .",2022
Gravity Falls,"Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer helping their great uncle Stan run a tourist trap in the mysterious town of Gravity Falls, Oregon. .",2012
NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position. .",2003
It,"In 1960, seven outcast kids known as ""The Losers' Club"" fight an evil demon who poses as a child-killing clown.  Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.",1990
Heroes,Common people discover that they have super powers.  Their lives intertwine as a devastating event must be prevented.,2006
The Pacific,Track the intertwined real-life stories of three U. S.,2010
Sons of Anarchy,"The Sons of Anarchy (SOA) are an outlaw motorcycle club with many charters in the United States and overseas.  The show focused on the original and founding charter, Sons of Anarchy Motorcycle Club, Redwood Original, often referred to by the acronym SAMCRO, Sam Crow, or simply Redwood Charter.",2008
Modern Family,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family.  They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",2009
Narcos,A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels. .,2015
Halo,"Depicting an epic 26th-century conflict between humanity and an alien threat known as the Covenant, the series weaves deeply drawn personal stories with action, adventure and a richly imagined vision of the future. .",2022
Bridgerton,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family. .",2020
Shameless,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be. .",2011
Fargo,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota. .",2014
Peacemaker,"The continuing story of Peacemaker, a vainglorious superhero/supervillain who believes in peace at any cost — no matter how many people he has to kill.  After a miraculous recovery from his duel with Bloodsport, Peacemaker soon discovers that his freedom comes at a price.",2022
The Wire,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated. .",2002
House of Cards,"Set in present day Washington, D. C.",2013
Adventure Time,"Unlikely heroes Finn and Jake are buddies who traverse the mystical Land of Ooo.  The best of friends, our heroes always find themselves in the middle of escapades.",2010
Yellowstone,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States.  Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.",2018
Marvel's Jessica Jones,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City. .",2015
Marvel's The Punisher,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy. .,2017
The Book of Boba Fett,Legendary bounty hunter Boba Fett and mercenary Fennec Shand must navigate the galaxy’s underworld when they return to the sands of Tatooine to stake their claim on the territory once ruled by Jabba the Hutt and his crime syndicate. .,2021
Young Sheldon,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory. .",2017
Titans,A team of young superheroes led by Nightwing (formerly Batman's first Robin) form to combat evil and other perils. .,2018
Marvel's Jessica Jones,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City. .",2015
DAHMER - Monster: The Jeffrey Dahmer Story,This series examines the gruesome and horrific true crimes of Jeffrey Dahmer and the systemic failures that enabled one of America’s most notorious serial killers to continue his murderous spree in plain sight for over a decade. .,2022
MINDHUNTER,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists. .,2017
Reacher,"Jack Reacher, a veteran military police investigator, has just recently entered civilian life.  Reacher is a drifter, carrying no phone and the barest of essentials as he travels the country and explores the nation he once served.",2022
See,A virus has decimated humankind.  Those who survived emerged blind.,2019
Spartacus,"Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment. .",2010
The Haunting of Hill House,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it. .",2018
The Rookie,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer.  As the force's oldest rookie, he’s met with skepticism from some higher-ups who see him as just a walking midlife crisis.",2018
Orange Is the New Black,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates. .",2013
BoJack Horseman,"Meet the most beloved sitcom horse of the '90s , 20 years later.  He's a curmudgeon with a heart of.",2014
Ozark,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss. .",2017
